Date,Product,Category,Units_Sold,Price,Stock_Level,Revenue,Promotion,Day_Of_Week,Month
2025-05-10,Polo Shirt,Shirts,21,35,105,735,0,5,5
2025-05-11,Polo Shirt,Shirts,26,35,466,910,0,6,5
2025-05-12,Polo Shirt,Shirts,25,35,441,875,0,0,5
2025-05-13,Polo Shirt,Shirts,25,35,416,875,0,1,5
2025-05-14,Polo Shirt,Shirts,21,35,395,735,0,2,5
2025-05-15,Polo Shirt,Shirts,19,35,376,665,0,3,5
2025-05-16,Polo Shirt,Shirts,23,35,353,805,0,4,5
2025-05-17,Polo Shirt,Shirts,31,35,322,1085,1,5,5
2025-05-18,Polo Shirt,Shirts,21,35,301,735,0,6,5
2025-05-19,Polo Shirt,Shirts,27,35,274,945,0,0,5
2025-05-20,Polo Shirt,Shirts,19,35,255,665,0,1,5
2025-05-21,Polo Shirt,Shirts,23,35,232,805,1,2,5
2025-05-22,Polo Shirt,Shirts,20,35,212,700,0,3,5
2025-05-23,Polo Shirt,Shirts,22,35,190,770,0,4,5
2025-05-24,Polo Shirt,Shirts,29,35,161,1015,0,5,5
2025-05-25,Polo Shirt,Shirts,32,35,129,1120,0,6,5
2025-05-26,Polo Shirt,Shirts,20,35,109,700,0,0,5
2025-05-27,Polo Shirt,Shirts,19,35,90,665,0,1,5
2025-05-28,Polo Shirt,Shirts,21,35,362,735,0,2,5
2025-05-29,Polo Shirt,Shirts,27,35,335,945,1,3,5
2025-05-30,Polo Shirt,Shirts,27,35,308,945,0,4,5
2025-05-31,Polo Shirt,Shirts,23,35,285,805,0,5,5
2025-06-01,Polo Shirt,Shirts,32,35,253,1120,0,6,6
2025-06-02,Polo Shirt,Shirts,31,35,222,1085,0,0,6
2025-06-03,Polo Shirt,Shirts,30,35,192,1050,0,1,6
2025-06-04,Polo Shirt,Shirts,26,35,166,910,0,2,6
2025-06-05,Polo Shirt,Shirts,41,35,125,1435,1,3,6
2025-06-06,Polo Shirt,Shirts,25,35,100,875,0,4,6
2025-06-07,Polo Shirt,Shirts,33,35,350,1155,0,5,6
2025-06-08,Polo Shirt,Shirts,37,35,313,1295,0,6,6
2025-06-09,Polo Shirt,Shirts,22,35,291,770,0,0,6
2025-06-10,Polo Shirt,Shirts,25,35,266,875,0,1,6
2025-06-11,Polo Shirt,Shirts,36,35,230,1260,1,2,6
2025-06-12,Polo Shirt,Shirts,35,35,195,1225,1,3,6
2025-06-13,Polo Shirt,Shirts,24,35,171,840,0,4,6
2025-06-14,Polo Shirt,Shirts,31,35,140,1085,0,5,6
2025-06-15,Polo Shirt,Shirts,35,35,105,1225,0,6,6
2025-06-16,Polo Shirt,Shirts,29,35,439,1015,0,0,6
2025-06-17,Polo Shirt,Shirts,27,35,412,945,0,1,6
2025-06-18,Polo Shirt,Shirts,27,35,385,945,1,2,6
2025-06-19,Polo Shirt,Shirts,30,35,355,1050,0,3,6
2025-06-20,Polo Shirt,Shirts,24,35,331,840,0,4,6
2025-06-21,Polo Shirt,Shirts,34,35,297,1190,0,5,6
2025-06-22,Polo Shirt,Shirts,33,35,264,1155,0,6,6
2025-06-23,Polo Shirt,Shirts,29,35,235,1015,0,0,6
2025-06-24,Polo Shirt,Shirts,23,35,212,805,0,1,6
2025-06-25,Polo Shirt,Shirts,28,35,184,980,0,2,6
2025-06-26,Polo Shirt,Shirts,19,35,165,665,0,3,6
2025-06-27,Polo Shirt,Shirts,26,35,139,910,0,4,6
2025-06-28,Polo Shirt,Shirts,31,35,108,1085,0,5,6
2025-06-29,Polo Shirt,Shirts,45,35,390,1575,1,6,6
2025-06-30,Polo Shirt,Shirts,23,35,367,805,0,0,6
2025-07-01,Polo Shirt,Shirts,26,35,341,910,0,1,7
2025-07-02,Polo Shirt,Shirts,22,35,319,770,0,2,7
2025-07-03,Polo Shirt,Shirts,35,35,284,1225,1,3,7
2025-07-04,Polo Shirt,Shirts,31,35,253,1085,0,4,7
2025-07-05,Polo Shirt,Shirts,44,35,209,1540,1,5,7
2025-07-06,Polo Shirt,Shirts,33,35,176,1155,0,6,7
2025-07-07,Polo Shirt,Shirts,26,35,150,910,0,0,7
2025-07-08,Polo Shirt,Shirts,24,35,126,840,0,1,7
2025-07-09,Polo Shirt,Shirts,30,35,96,1050,1,2,7
2025-07-10,Polo Shirt,Shirts,21,35,410,735,0,3,7
2025-07-11,Polo Shirt,Shirts,26,35,384,910,0,4,7
2025-07-12,Polo Shirt,Shirts,30,35,354,1050,0,5,7
2025-07-13,Polo Shirt,Shirts,32,35,322,1120,0,6,7
2025-07-14,Polo Shirt,Shirts,28,35,294,980,0,0,7
2025-07-15,Polo Shirt,Shirts,25,35,269,875,0,1,7
2025-07-16,Polo Shirt,Shirts,26,35,243,910,0,2,7
2025-07-17,Polo Shirt,Shirts,25,35,218,875,0,3,7
2025-07-18,Polo Shirt,Shirts,27,35,191,945,0,4,7
2025-07-19,Polo Shirt,Shirts,30,35,161,1050,0,5,7
2025-07-20,Polo Shirt,Shirts,32,35,129,1120,0,6,7
2025-07-21,Polo Shirt,Shirts,27,35,102,945,0,0,7
2025-07-22,Polo Shirt,Shirts,34,35,431,1190,1,1,7
2025-07-23,Polo Shirt,Shirts,26,35,405,910,0,2,7
2025-07-24,Polo Shirt,Shirts,41,35,364,1435,1,3,7
2025-07-25,Polo Shirt,Shirts,27,35,337,945,0,4,7
2025-07-26,Polo Shirt,Shirts,36,35,301,1260,0,5,7
2025-07-27,Polo Shirt,Shirts,48,35,253,1680,1,6,7
2025-07-28,Polo Shirt,Shirts,26,35,227,910,0,0,7
2025-07-29,Polo Shirt,Shirts,29,35,198,1015,0,1,7
2025-07-30,Polo Shirt,Shirts,25,35,173,875,0,2,7
2025-07-31,Polo Shirt,Shirts,22,35,151,770,0,3,7
2025-08-01,Polo Shirt,Shirts,20,35,131,700,0,4,8
2025-08-02,Polo Shirt,Shirts,34,35,97,1190,0,5,8
2025-08-03,Polo Shirt,Shirts,35,35,455,1225,0,6,8
2025-08-04,Polo Shirt,Shirts,30,35,425,1050,0,0,8
2025-08-05,Polo Shirt,Shirts,30,35,395,1050,1,1,8
2025-08-06,Polo Shirt,Shirts,26,35,369,910,0,2,8
2025-08-07,Polo Shirt,Shirts,27,35,342,945,0,3,8
2025-08-08,Polo Shirt,Shirts,26,35,316,910,0,4,8
2025-08-09,Polo Shirt,Shirts,36,35,280,1260,0,5,8
2025-08-10,Polo Shirt,Shirts,31,35,249,1085,0,6,8
2025-08-11,Polo Shirt,Shirts,27,35,222,945,0,0,8
2025-08-12,Polo Shirt,Shirts,32,35,190,1120,0,1,8
2025-08-13,Polo Shirt,Shirts,39,35,151,1365,1,2,8
2025-08-14,Polo Shirt,Shirts,28,35,123,980,0,3,8
2025-08-15,Polo Shirt,Shirts,24,35,99,840,0,4,8
2025-08-16,Polo Shirt,Shirts,31,35,440,1085,0,5,8
2025-08-17,Polo Shirt,Shirts,35,35,405,1225,0,6,8
2025-08-18,Polo Shirt,Shirts,23,35,382,805,0,0,8
2025-08-19,Polo Shirt,Shirts,27,35,355,945,0,1,8
2025-08-20,Polo Shirt,Shirts,24,35,331,840,0,2,8
2025-08-21,Polo Shirt,Shirts,29,35,302,1015,0,3,8
2025-08-22,Polo Shirt,Shirts,26,35,276,910,0,4,8
2025-08-23,Polo Shirt,Shirts,32,35,244,1120,0,5,8
2025-08-24,Polo Shirt,Shirts,35,35,209,1225,0,6,8
2025-08-25,Polo Shirt,Shirts,28,35,181,980,0,0,8
2025-08-26,Polo Shirt,Shirts,30,35,151,1050,0,1,8
2025-08-27,Polo Shirt,Shirts,29,35,122,1015,0,2,8
2025-08-28,Polo Shirt,Shirts,21,35,101,735,0,3,8
2025-08-29,Polo Shirt,Shirts,25,35,441,875,0,4,8
2025-08-30,Polo Shirt,Shirts,35,35,406,1225,0,5,8
2025-08-31,Polo Shirt,Shirts,43,35,363,1505,1,6,8
2025-09-01,Polo Shirt,Shirts,16,35,347,560,0,0,9
2025-09-02,Polo Shirt,Shirts,25,35,322,875,0,1,9
2025-09-03,Polo Shirt,Shirts,21,35,301,735,0,2,9
2025-09-04,Polo Shirt,Shirts,22,35,279,770,0,3,9
2025-09-05,Polo Shirt,Shirts,20,35,259,700,0,4,9
2025-09-06,Polo Shirt,Shirts,22,35,237,770,0,5,9
2025-09-07,Polo Shirt,Shirts,30,35,207,1050,0,6,9
2025-09-08,Polo Shirt,Shirts,16,35,191,560,0,0,9
2025-09-09,Polo Shirt,Shirts,26,35,165,910,0,1,9
2025-09-10,Polo Shirt,Shirts,19,35,146,665,0,2,9
2025-09-11,Polo Shirt,Shirts,33,35,113,1155,1,3,9
2025-09-12,Polo Shirt,Shirts,22,35,91,770,0,4,9
2025-09-13,Polo Shirt,Shirts,28,35,283,980,0,5,9
2025-09-14,Polo Shirt,Shirts,25,35,258,875,0,6,9
2025-09-15,Polo Shirt,Shirts,20,35,238,700,0,0,9
2025-09-16,Polo Shirt,Shirts,17,35,221,595,0,1,9
2025-09-17,Polo Shirt,Shirts,21,35,200,735,0,2,9
2025-09-18,Polo Shirt,Shirts,21,35,179,735,0,3,9
2025-09-19,Polo Shirt,Shirts,22,35,157,770,0,4,9
2025-09-20,Polo Shirt,Shirts,30,35,127,1050,0,5,9
2025-09-21,Polo Shirt,Shirts,25,35,102,875,0,6,9
2025-09-22,Polo Shirt,Shirts,20,35,82,700,0,0,9
2025-09-23,Polo Shirt,Shirts,18,35,291,630,0,1,9
2025-09-24,Polo Shirt,Shirts,26,35,265,910,0,2,9
2025-09-25,Polo Shirt,Shirts,21,35,244,735,0,3,9
2025-09-26,Polo Shirt,Shirts,23,35,221,805,0,4,9
2025-09-27,Polo Shirt,Shirts,28,35,193,980,0,5,9
2025-09-28,Polo Shirt,Shirts,27,35,166,945,0,6,9
2025-09-29,Polo Shirt,Shirts,19,35,147,665,0,0,9
2025-09-30,Polo Shirt,Shirts,19,35,128,665,0,1,9
2025-10-01,Polo Shirt,Shirts,17,35,111,595,0,2,10
2025-10-02,Polo Shirt,Shirts,20,35,91,700,0,3,10
2025-10-03,Polo Shirt,Shirts,18,35,417,630,0,4,10
2025-10-04,Polo Shirt,Shirts,20,35,397,700,0,5,10
2025-10-05,Polo Shirt,Shirts,26,35,371,910,0,6,10
2025-10-06,Polo Shirt,Shirts,26,35,345,910,0,0,10
2025-10-07,Polo Shirt,Shirts,23,35,322,805,0,1,10
2025-10-08,Polo Shirt,Shirts,15,35,307,525,0,2,10
2025-10-09,Polo Shirt,Shirts,25,35,282,875,0,3,10
2025-10-10,Polo Shirt,Shirts,24,35,258,840,1,4,10
2025-10-11,Polo Shirt,Shirts,29,35,229,1015,0,5,10
2025-10-12,Polo Shirt,Shirts,25,35,204,875,0,6,10
2025-10-13,Polo Shirt,Shirts,18,35,186,630,0,0,10
2025-10-14,Polo Shirt,Shirts,29,35,157,1015,1,1,10
2025-10-15,Polo Shirt,Shirts,31,35,126,1085,1,2,10
2025-10-16,Polo Shirt,Shirts,21,35,105,735,0,3,10
2025-10-17,Polo Shirt,Shirts,23,35,82,805,0,4,10
2025-10-18,Polo Shirt,Shirts,28,35,279,980,0,5,10
2025-10-19,Polo Shirt,Shirts,32,35,247,1120,0,6,10
2025-10-20,Polo Shirt,Shirts,20,35,227,700,0,0,10
2025-10-21,Polo Shirt,Shirts,18,35,209,630,0,1,10
2025-10-22,Polo Shirt,Shirts,20,35,189,700,0,2,10
2025-10-23,Polo Shirt,Shirts,21,35,168,735,0,3,10
2025-10-24,Polo Shirt,Shirts,18,35,150,630,0,4,10
2025-10-25,Polo Shirt,Shirts,28,35,122,980,0,5,10
2025-10-26,Polo Shirt,Shirts,27,35,95,945,0,6,10
2025-10-27,Polo Shirt,Shirts,20,35,425,700,0,0,10
2025-10-28,Polo Shirt,Shirts,23,35,402,805,0,1,10
2025-10-29,Polo Shirt,Shirts,18,35,384,630,0,2,10
2025-10-30,Polo Shirt,Shirts,29,35,355,1015,0,3,10
2025-10-31,Polo Shirt,Shirts,20,35,335,700,0,4,10
2025-11-01,Polo Shirt,Shirts,39,35,296,1365,0,5,11
2025-11-02,Polo Shirt,Shirts,40,35,256,1400,0,6,11
2025-11-03,Polo Shirt,Shirts,42,35,214,1470,1,0,11
2025-11-04,Polo Shirt,Shirts,30,35,184,1050,0,1,11
2025-11-05,Polo Shirt,Shirts,32,35,152,1120,0,2,11
2025-11-06,Polo Shirt,Shirts,32,35,120,1120,0,3,11
2025-11-07,Polo Shirt,Shirts,29,35,91,1015,0,4,11
2025-11-08,Polo Shirt,Shirts,39,35,329,1365,0,5,11
2025-11-09,Polo Shirt,Shirts,41,35,288,1435,0,6,11
2025-11-10,Polo Shirt,Shirts,29,35,259,1015,0,0,11
2025-11-11,Polo Shirt,Shirts,24,35,235,840,0,1,11
2025-11-12,Polo Shirt,Shirts,27,35,208,945,0,2,11
2025-11-13,Polo Shirt,Shirts,30,35,178,1050,0,3,11
2025-11-14,Polo Shirt,Shirts,35,35,143,1225,0,4,11
2025-11-15,Polo Shirt,Shirts,52,35,91,1820,1,5,11
2025-11-16,Polo Shirt,Shirts,43,35,426,1505,1,6,11
2025-11-17,Polo Shirt,Shirts,25,35,401,875,0,0,11
2025-11-18,Polo Shirt,Shirts,28,35,373,980,0,1,11
2025-11-19,Polo Shirt,Shirts,35,35,338,1225,0,2,11
2025-11-20,Polo Shirt,Shirts,30,35,308,1050,0,3,11
2025-11-21,Polo Shirt,Shirts,42,35,266,1470,1,4,11
2025-11-22,Polo Shirt,Shirts,41,35,225,1435,0,5,11
2025-11-23,Polo Shirt,Shirts,40,35,185,1400,0,6,11
2025-11-24,Polo Shirt,Shirts,28,35,157,980,0,0,11
2025-11-25,Polo Shirt,Shirts,31,35,126,1085,0,1,11
2025-11-26,Polo Shirt,Shirts,27,35,99,945,0,2,11
2025-11-27,Polo Shirt,Shirts,30,35,404,1050,0,3,11
2025-11-28,Polo Shirt,Shirts,38,35,366,1330,0,4,11
2025-11-29,Polo Shirt,Shirts,41,35,325,1435,0,5,11
2025-11-30,Polo Shirt,Shirts,41,35,284,1435,0,6,11
2025-12-01,Polo Shirt,Shirts,25,35,259,875,0,0,12
2025-12-02,Polo Shirt,Shirts,31,35,228,1085,0,1,12
2025-12-03,Polo Shirt,Shirts,31,35,197,1085,0,2,12
2025-12-04,Polo Shirt,Shirts,33,35,164,1155,0,3,12
2025-12-05,Polo Shirt,Shirts,31,35,133,1085,0,4,12
2025-12-06,Polo Shirt,Shirts,46,35,87,1610,0,5,12
2025-12-07,Polo Shirt,Shirts,43,35,363,1505,0,6,12
2025-12-08,Polo Shirt,Shirts,32,35,331,1120,0,0,12
2025-12-09,Polo Shirt,Shirts,28,35,303,980,0,1,12
2025-12-10,Polo Shirt,Shirts,34,35,269,1190,0,2,12
2025-12-11,Polo Shirt,Shirts,28,35,241,980,0,3,12
2025-12-12,Polo Shirt,Shirts,29,35,212,1015,0,4,12
2025-12-13,Polo Shirt,Shirts,34,35,178,1190,0,5,12
2025-12-14,Polo Shirt,Shirts,35,35,143,1225,0,6,12
2025-12-15,Polo Shirt,Shirts,34,35,109,1190,0,0,12
2025-12-16,Polo Shirt,Shirts,28,35,81,980,0,1,12
2025-12-17,Polo Shirt,Shirts,28,35,277,980,0,2,12
2025-12-18,Polo Shirt,Shirts,40,35,237,1400,1,3,12
2025-12-19,Polo Shirt,Shirts,35,35,202,1225,1,4,12
2025-12-20,Polo Shirt,Shirts,41,35,161,1435,1,5,12
2025-12-21,Polo Shirt,Shirts,39,35,122,1365,0,6,12
2025-12-22,Polo Shirt,Shirts,26,35,96,910,0,0,12
2025-12-23,Polo Shirt,Shirts,33,35,412,1155,0,1,12
2025-12-24,Polo Shirt,Shirts,28,35,384,980,0,2,12
2025-12-25,Polo Shirt,Shirts,32,35,352,1120,0,3,12
2025-12-26,Polo Shirt,Shirts,30,35,322,1050,0,4,12
2025-12-27,Polo Shirt,Shirts,38,35,284,1330,0,5,12
2025-12-28,Polo Shirt,Shirts,41,35,243,1435,0,6,12
2025-12-29,Polo Shirt,Shirts,28,35,215,980,0,0,12
2025-12-30,Polo Shirt,Shirts,25,35,190,875,0,1,12
2025-12-31,Polo Shirt,Shirts,29,35,161,1015,0,2,12
2025-01-01,Chino Pants,Pants,13,45,285,585,0,2,1
2025-01-02,Chino Pants,Pants,15,45,270,675,0,3,1
2025-01-03,Chino Pants,Pants,22,45,248,990,0,4,1
2025-01-04,Chino Pants,Pants,20,45,228,900,0,5,1
2025-01-05,Chino Pants,Pants,33,45,195,1485,0,6,1
2025-01-06,Chino Pants,Pants,19,45,176,855,0,0,1
2025-01-07,Chino Pants,Pants,17,45,159,765,0,1,1
2025-01-08,Chino Pants,Pants,21,45,138,945,0,2,1
2025-01-09,Chino Pants,Pants,19,45,119,855,0,3,1
2025-01-10,Chino Pants,Pants,19,45,100,855,0,4,1
2025-01-11,Chino Pants,Pants,28,45,338,1260,0,5,1
2025-01-12,Chino Pants,Pants,25,45,313,1125,0,6,1
2025-01-13,Chino Pants,Pants,19,45,294,855,0,0,1
2025-01-14,Chino Pants,Pants,18,45,276,810,0,1,1
2025-01-15,Chino Pants,Pants,19,45,257,855,0,2,1
2025-01-16,Chino Pants,Pants,20,45,237,900,0,3,1
2025-01-17,Chino Pants,Pants,20,45,217,900,0,4,1
2025-01-18,Chino Pants,Pants,23,45,194,1035,0,5,1
2025-01-19,Chino Pants,Pants,29,45,165,1305,1,6,1
2025-01-20,Chino Pants,Pants,14,45,151,630,0,0,1
2025-01-21,Chino Pants,Pants,31,45,120,1395,1,1,1
2025-01-22,Chino Pants,Pants,16,45,104,720,0,2,1
2025-01-23,Chino Pants,Pants,17,45,87,765,0,3,1
2025-01-24,Chino Pants,Pants,22,45,430,990,0,4,1
2025-01-25,Chino Pants,Pants,20,45,410,900,0,5,1
2025-01-26,Chino Pants,Pants,23,45,387,1035,0,6,1
2025-01-27,Chino Pants,Pants,27,45,360,1215,1,0,1
2025-01-28,Chino Pants,Pants,20,45,340,900,0,1,1
2025-01-29,Chino Pants,Pants,23,45,317,1035,1,2,1
2025-01-30,Chino Pants,Pants,19,45,298,855,0,3,1
2025-01-31,Chino Pants,Pants,15,45,283,675,0,4,1
2025-02-01,Chino Pants,Pants,22,45,261,990,0,5,2
2025-02-02,Chino Pants,Pants,29,45,232,1305,0,6,2
2025-02-03,Chino Pants,Pants,16,45,216,720,0,0,2
2025-02-04,Chino Pants,Pants,25,45,191,1125,1,1,2
2025-02-05,Chino Pants,Pants,22,45,169,990,0,2,2
2025-02-06,Chino Pants,Pants,21,45,148,945,0,3,2
2025-02-07,Chino Pants,Pants,17,45,131,765,0,4,2
2025-02-08,Chino Pants,Pants,24,45,107,1080,0,5,2
2025-02-09,Chino Pants,Pants,23,45,84,1035,0,6,2
2025-02-10,Chino Pants,Pants,20,45,290,900,0,0,2
2025-02-11,Chino Pants,Pants,26,45,264,1170,1,1,2
